Country,Powerplant Name,gppd_idnr,Capacity (MW),Latitude,Longitude,Primary Fuel,Owner,Source
Argentina,CT SAN MIGUEL NORTE III,ARG0000162,11.5,-34.5252,-58.6206,Oil,ENARSA,Ministerio de Energía y Minería
Argentina,CT SANTA ROSA,ARG0000142,6.0,-28.2628,-58.0006,Oil,TURBODISEL SA,Ministerio de Energía y Minería
Argentina,CT TARTAGAL,ARG0000288,10.0,-22.5406,-63.8056,Oil,SOENERGY ARGENTINA SA,Ministerio de Energía y Minería
Argentina,CT TEREVINTOS,ARG0000057,8.0,-28.4289,-65.7878,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CT TINOGASTA,ARG0000058,15.0,-28.0486,-67.5667,Oil,SULLAIR ARGENTINA SA,Ministerio de Energía y Minería
Argentina,CT TUCUMAN,ARG0000342,438.0,-26.9955,-65.166,Gas,YPF ENERGIA ELECTRICA S.A.,Ministerio de Energía y Minería
Argentina,CT VENADO TUERTO,ARG0000316,19.2,-33.7736,-61.9564,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CT VIALE,ARG0000143,10.0,-31.8919,-60.0106,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energía y Minería
Argentina,CT VILLA ANGELA,ARG0000061,15.0,-27.5808,-60.7094,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energía y Minería
Argentina,CT VILLA REGINA,ARG0000261,5.0,-39.0872,-67.0881,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energía y Minería
Argentina,CUESTA DEL VIENTO,ARG0000297,10.55,-30.1833,-69.0667,Hydro,EPSE - ENERGIA PROVINCIAL SOCIEDAD DEL ESTADO,Ministerio de Energía y Minería
Argentina,DEAN FUNES,ARG0000088,70.12,-31.3934,-64.2059,Gas,EPEC,Ministerio de Energía y Minería
Argentina,DIQUE,ARG0000157,68.44,-34.8902,-57.933,Gas,CENTRAL DIQUE SA,Ministerio de Energía y Minería
Argentina,DOCK SUD,ARG0000158,872.3,-34.6533,-58.342,Gas,CT DOCK SUD SA,Ministerio de Energía y Minería
Argentina,EL CADILLAL,ARG0000338,14.0,-26.6156,-65.1929,Hydro,H. TUCUMAN SA,Ministerio de Energía y Minería
Argentina,EL CARRIZAL,ARG0000196,17.0,-33.2993,-68.7199,Hydro,CEMPPSA - HIDROCUYO SA,Ministerio de Energía y Minería
Argentina,EL CHOCON,ARG0000255,1200.0,-39.2577,-68.7483,Hydro,H. EL CHOCON SA,Ministerio de Energía y Minería
Argentina,EL TIGRE,ARG0000211,14.4,-34.61,-68.6136,Hydro,HIDISA,Ministerio de Energía y Minería
